"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"SW2,SW8,SW7,SW6,SW3,SW4,SW5,SW1";"SW_Cherry_MX_1.00u_PCB";8;"SW_Push";;;
2;"U1";"XIAO-RP2040-DIP";1;"XIAO-RP2040-DIP";;;
3;"SW9";"RotaryEncoder_Alps_EC11E-Switch_Vertical_H20mm";1;"RotaryEncoder_Switch";;;
